game,keyword,positive_count,negative_count
Apex Legends,battle,32,16
Apex Legends,cheaters,11,49
Apex Legends,devs,7,27
Apex Legends,friends,24,11
Apex Legends,gameplay,17,14
Apex Legends,money,14,22
Apex Legends,movement,37,20
Apex Legends,ranked,27,28
Apex Legends,respawn,5,13
Apex Legends,royale,24,8
Apex Legends,servers,17,45
Apex Legends,shooter,18,10
Apex Legends,skill,24,14
Apex Legends,skins,10,12
Apex Legends,system,8,13
Apex Legends,update,2,15
Icarus,animals,75,39
Icarus,base,200,121
Icarus,boring,13,21
Icarus,bugs,34,22
Icarus,building,152,51
Icarus,buy,54,41
Icarus,content,95,36
Icarus,crafting,85,23
Icarus,crash,5,4
Icarus,devs,69,40
Icarus,dlc,141,137
Icarus,fps,18,29
Icarus,friends,108,20
Icarus,fun,286,53
Icarus,grind,49,45
Icarus,issues,43,40
Icarus,items,47,19
Icarus,lag,16,10
Icarus,map,69,54
Icarus,mission,90,42
Icarus,missions,149,54
Icarus,open,128,31
Icarus,optimization,15,18
Icarus,recommend,98,36
Icarus,survival,390,60
Icarus,tutorial,6,5
Icarus,update,53,20
Icarus,updates,91,24
Icarus,world,157,68
Icarus,worth,65,24
Path of Exile,always online,1,1
Path of Exile,boss fights,2,2
Path of Exile,build diversity,7,2
Path of Exile,come back,11,2
Path of Exile,crafting system,6,1
Path of Exile,endgame content,4,2
Path of Exile,fix servers,0,1
Path of Exile,game balance,0,1
Path of Exile,game crashes,0,1
Path of Exile,grind grind,1,0
Path of Exile,league launch,3,2
Path of Exile,league mechanic,6,4
Path of Exile,league start,5,2
Path of Exile,learning curve,19,1
Path of Exile,loot filter,5,4
Path of Exile,new league,14,9
Path of Exile,passive skill,12,3
Path of Exile,performance issues,0,2
Path of Exile,server issues,1,7
Path of Exile,servers unplayable,0,2
Path of Exile,skill gems,7,1
Path of Exile,skill tree,33,4
Path of Exile,stash tabs,13,3
Path of Exile,trade system,2,1
Path of Exile,unbalanced,1,1
