category,positive_count,negative_count,game,total,positive_rate,mention_rate
Story & Quest Engagement,2970,188,God of War,3158,94.05,63.16
Character & Relationship Attachment,1659,113,God of War,1772,93.62,35.44
World & Genre Immersion,1329,101,God of War,1430,92.94,28.6
Emotional Payoff,471,29,God of War,500,94.2,10.0
Theme & Meaning,369,37,God of War,406,90.89,8.12
Story & Quest Engagement,2407,241,RDR2,2648,90.9,52.96
Character & Relationship Attachment,1253,107,RDR2,1360,92.13,27.2
World & Genre Immersion,1635,182,RDR2,1817,89.98,36.34
Emotional Payoff,664,18,RDR2,682,97.36,13.64
Theme & Meaning,772,61,RDR2,833,92.68,16.66
Story & Quest Engagement,2756,141,The Witcher 3,2897,95.13,57.94
Character & Relationship Attachment,1467,86,The Witcher 3,1553,94.46,31.06
World & Genre Immersion,2589,122,The Witcher 3,2711,95.5,54.22
Emotional Payoff,433,13,The Witcher 3,446,97.09,8.92
Theme & Meaning,917,44,The Witcher 3,961,95.42,19.22
