game,playtime_group,playtime_sort,total_reviews,narrative_reviews,non_narrative_reviews,narrative_positive_rate,non_narrative_positive_rate,narrative_lift_pp
God of War,10-50h,1,3272,2485,787,92.23,87.55,4.68
God of War,50-100h,2,1383,1042,341,96.16,89.44,6.72
God of War,100-300h,3,327,234,93,94.87,89.25,5.62
God of War,300-1000h,4,15,11,4,90.91,75.0,15.91
God of War,1000h+,5,3,3,0,100.0,0.0,100.0
RDR2,10-50h,1,1245,820,425,82.07,65.88,16.19
RDR2,50-100h,2,1596,1152,444,91.58,86.04,5.54
RDR2,100-300h,3,1701,1262,439,94.29,83.37,10.92
RDR2,300-1000h,4,413,297,116,93.94,79.31,14.63
RDR2,1000h+,5,45,27,18,92.59,88.89,3.7
The Witcher 3,10-50h,1,966,699,267,84.98,80.52,4.46
The Witcher 3,50-100h,2,1155,889,266,95.28,95.11,0.17
The Witcher 3,100-300h,3,2400,1906,494,97.85,95.95,1.9
The Witcher 3,300-1000h,4,446,352,94,98.86,95.74,3.12
The Witcher 3,1000h+,5,33,29,4,100.0,100.0,0.0
